Date,Product_ID,Location,Demand,Price,Promotion,Stock_Level,Day_of_Week,Is_Holiday
2024-01-01,A123,Hamburg,96,11.37,Yes,183,Monday,Yes
2024-01-02,B234,Berlin,107,9.66,Yes,190,Tuesday,No
2024-01-03,C345,Berlin,88,12.12,No,65,Wednesday,No
2024-01-04,A123,Hamburg,103,7.57,No,164,Thursday,No
2024-01-05,B234,Munich,111,10.87,No,100,Friday,No
2024-01-06,C345,Berlin,90,13.69,No,140,Saturday,No
2024-01-07,A123,Berlin,94,9.75,No,50,Sunday,No
2024-01-08,B234,Berlin,98,10.89,No,152,Monday,No
2024-01-09,C345,Hamburg,103,10.89,No,144,Tuesday,No
2024-01-10,A123,Berlin,94,9.78,Yes,89,Wednesday,No
2024-01-11,B234,Hamburg,99,10.57,No,230,Thursday,No
2024-01-12,C345,Hamburg,90,11.71,Yes,184,Friday,No
2024-01-13,A123,Hamburg,103,9.14,No,186,Saturday,No
2024-01-14,B234,Berlin,103,10.52,No,216,Sunday,No
2024-01-15,C345,Hamburg,94,10.97,No,168,Monday,No
2024-01-16,A123,Munich,105,9.33,No,69,Tuesday,No
2024-01-17,B234,Berlin,86,10.13,No,243,Wednesday,No
2024-01-18,C345,Berlin,92,10.53,Yes,90,Thursday,No
2024-01-19,A123,Berlin,94,9.32,No,67,Friday,No
2024-01-20,B234,Berlin,101,11.5,Yes,96,Saturday,No
2024-01-21,C345,Berlin,103,10.31,No,271,Sunday,No
2024-01-22,A123,Hamburg,84,9.33,Yes,221,Monday,No
2024-01-23,B234,Hamburg,76,8.9,Yes,240,Tuesday,No
2024-01-24,C345,Berlin,97,9.77,Yes,285,Wednesday,No
2024-01-25,A123,Hamburg,111,9.73,Yes,149,Thursday,No
2024-01-26,B234,Berlin,93,10.44,Yes,223,Friday,No
2024-01-27,C345,Hamburg,87,8.85,No,139,Saturday,No
2024-01-28,A123,Hamburg,108,9.4,Yes,146,Sunday,No
2024-01-29,B234,Hamburg,106,11.55,Yes,203,Monday,No
2024-01-30,C345,Hamburg,108,8.49,No,179,Tuesday,No
2024-01-31,A123,Munich,96,9.43,Yes,103,Wednesday,No
2024-02-01,B234,Berlin,113,8.82,No,161,Thursday,No
2024-02-02,C345,Munich,95,10.25,Yes,274,Friday,No
2024-02-03,A123,Hamburg,94,10.74,Yes,221,Saturday,No
2024-02-04,B234,Munich,107,13.59,Yes,91,Sunday,No
2024-02-05,C345,Berlin,114,11.0,No,105,Monday,No
2024-02-06,A123,Berlin,86,8.81,No,210,Tuesday,No
2024-02-07,B234,Hamburg,108,10.58,No,108,Wednesday,No
2024-02-08,C345,Munich,108,9.91,No,256,Thursday,No
2024-02-09,A123,Munich,101,9.55,No,79,Friday,No
2024-02-10,B234,Munich,94,10.02,No,70,Saturday,No
2024-02-11,C345,Berlin,116,10.89,Yes,270,Sunday,No
2024-02-12,A123,Berlin,97,10.84,No,250,Monday,No
2024-02-13,B234,Munich,91,8.65,No,249,Tuesday,No
2024-02-14,C345,Berlin,94,10.04,No,83,Wednesday,No
2024-02-15,A123,Berlin,118,9.0,No,144,Thursday,No
2024-02-16,B234,Munich,104,10.16,No,201,Friday,No
2024-02-17,C345,Berlin,110,9.56,No,137,Saturday,No
2024-02-18,A123,Munich,115,10.82,No,153,Sunday,No
2024-02-19,B234,Munich,94,9.73,No,183,Monday,No
2024-02-20,C345,Hamburg,91,9.3,No,138,Tuesday,No
2024-02-21,A123,Munich,110,10.06,No,247,Wednesday,No
2024-02-22,B234,Berlin,98,9.98,Yes,163,Thursday,No
2024-02-23,C345,Hamburg,86,9.84,No,205,Friday,No
2024-02-24,A123,Munich,121,9.55,No,196,Saturday,No
2024-02-25,B234,Hamburg,100,7.54,No,206,Sunday,No
2024-02-26,C345,Berlin,96,11.94,Yes,180,Monday,No
2024-02-27,A123,Munich,127,8.66,No,254,Tuesday,No
2024-02-28,B234,Berlin,100,10.24,Yes,105,Wednesday,No
2024-02-29,C345,Hamburg,93,10.38,No,137,Thursday,No
2024-03-01,A123,Munich,103,12.18,No,294,Friday,No
2024-03-02,B234,Hamburg,78,12.31,No,194,Saturday,No
2024-03-03,C345,Hamburg,116,10.41,No,173,Sunday,No
2024-03-04,A123,Munich,88,8.98,No,293,Monday,No
2024-03-05,B234,Hamburg,105,9.01,No,258,Tuesday,No
2024-03-06,C345,Berlin,92,9.38,No,75,Wednesday,No
2024-03-07,A123,Hamburg,96,9.97,No,181,Thursday,No
2024-03-08,B234,Berlin,104,9.54,No,275,Friday,No
2024-03-09,C345,Berlin,84,9.03,No,160,Saturday,No
2024-03-10,A123,Hamburg,95,10.09,No,76,Sunday,No
2024-03-11,B234,Berlin,105,9.16,No,195,Monday,No
2024-03-12,C345,Munich,100,11.38,Yes,51,Tuesday,No
2024-03-13,A123,Berlin,104,9.17,Yes,80,Wednesday,No
2024-03-14,B234,Berlin,106,9.32,No,247,Thursday,No
2024-03-15,C345,Berlin,120,10.11,No,124,Friday,No
2024-03-16,A123,Munich,95,8.69,No,277,Saturday,No
2024-03-17,B234,Munich,118,9.63,No,51,Sunday,No
2024-03-18,C345,Munich,92,8.5,No,72,Monday,No
2024-03-19,A123,Hamburg,110,9.94,Yes,157,Tuesday,No
2024-03-20,B234,Munich,101,9.17,Yes,157,Wednesday,No
2024-03-21,C345,Berlin,84,9.51,No,273,Thursday,No
2024-03-22,A123,Munich,115,10.14,Yes,163,Friday,No
2024-03-23,B234,Munich,95,9.6,No,167,Saturday,No
2024-03-24,C345,Berlin,114,10.73,No,52,Sunday,No
2024-03-25,A123,Hamburg,104,9.01,No,159,Monday,No
2024-03-26,B234,Munich,89,9.53,No,207,Tuesday,No
2024-03-27,C345,Hamburg,103,9.68,No,285,Wednesday,No
2024-03-28,A123,Hamburg,85,10.81,Yes,112,Thursday,No
2024-03-29,B234,Hamburg,101,11.06,No,248,Friday,No
2024-03-30,C345,Berlin,104,9.03,No,283,Saturday,No
2024-03-31,A123,Hamburg,106,9.6,No,243,Sunday,No
2024-04-01,B234,Hamburg,95,8.07,No,150,Monday,No
2024-04-02,C345,Berlin,104,10.0,No,130,Tuesday,No
2024-04-03,A123,Hamburg,105,10.05,No,189,Wednesday,No
2024-04-04,B234,Hamburg,84,11.42,No,72,Thursday,No
2024-04-05,C345,Berlin,93,9.83,No,169,Friday,No
2024-04-06,A123,Berlin,115,9.88,No,287,Saturday,No
2024-04-07,B234,Munich,109,9.55,Yes,198,Sunday,No
2024-04-08,C345,Munich,102,10.53,No,106,Monday,No
2024-04-09,A123,Munich,90,10.26,No,298,Tuesday,No
2024-04-10,B234,Hamburg,93,10.43,No,174,Wednesday,No
2024-04-11,C345,Hamburg,104,12.14,No,54,Thursday,No
2024-04-12,A123,Hamburg,117,8.51,No,65,Friday,No
2024-04-13,B234,Berlin,98,7.26,No,266,Saturday,No
2024-04-14,C345,Hamburg,94,10.71,No,60,Sunday,No
2024-04-15,A123,Munich,112,9.95,Yes,217,Monday,No
2024-04-16,B234,Berlin,89,9.43,No,191,Tuesday,No
2024-04-17,C345,Berlin,119,11.01,Yes,149,Wednesday,No
2024-04-18,A123,Berlin,102,10.17,No,261,Thursday,No
2024-04-19,B234,Munich,87,9.59,No,159,Friday,No
2024-04-20,C345,Munich,113,10.89,Yes,165,Saturday,No
2024-04-21,A123,Munich,106,10.75,No,246,Sunday,No
2024-04-22,B234,Berlin,96,10.65,No,293,Monday,No
2024-04-23,C345,Berlin,110,8.73,No,50,Tuesday,No
2024-04-24,A123,Hamburg,100,9.18,No,87,Wednesday,No
2024-04-25,B234,Hamburg,110,10.29,No,115,Thursday,No
2024-04-26,C345,Munich,106,10.47,Yes,53,Friday,No
2024-04-27,A123,Berlin,114,11.4,Yes,52,Saturday,No
2024-04-28,B234,Hamburg,96,9.42,No,226,Sunday,No
2024-04-29,C345,Munich,102,10.0,No,125,Monday,No
2024-04-30,A123,Munich,99,11.17,No,127,Tuesday,No
2024-05-01,B234,Hamburg,93,9.86,No,269,Wednesday,No
2024-05-02,C345,Munich,69,10.17,No,261,Thursday,No
2024-05-03,A123,Berlin,111,9.96,No,197,Friday,No
2024-05-04,B234,Munich,87,10.57,No,72,Saturday,No
2024-05-05,C345,Berlin,108,10.51,Yes,142,Sunday,No
2024-05-06,A123,Berlin,104,8.39,No,68,Monday,No
2024-05-07,B234,Hamburg,78,10.65,No,64,Tuesday,No
2024-05-08,C345,Hamburg,101,11.68,No,66,Wednesday,No
2024-05-09,A123,Hamburg,100,8.61,No,53,Thursday,No
2024-05-10,B234,Munich,109,10.34,No,141,Friday,No
2024-05-11,C345,Hamburg,98,10.58,No,111,Saturday,No
2024-05-12,A123,Hamburg,111,8.68,No,176,Sunday,No
2024-05-13,B234,Munich,97,9.24,No,55,Monday,No
2024-05-14,C345,Hamburg,88,9.32,No,215,Tuesday,No
2024-05-15,A123,Munich,101,10.22,No,228,Wednesday,No
2024-05-16,B234,Munich,105,8.64,No,213,Thursday,No
2024-05-17,C345,Berlin,102,9.31,No,156,Friday,No
2024-05-18,A123,Berlin,98,10.36,No,253,Saturday,No
2024-05-19,B234,Hamburg,96,10.86,Yes,241,Sunday,No
2024-05-20,C345,Munich,76,10.03,Yes,254,Monday,No
2024-05-21,A123,Berlin,112,8.95,Yes,259,Tuesday,No
2024-05-22,B234,Berlin,99,9.73,No,127,Wednesday,No
2024-05-23,C345,Berlin,100,10.2,Yes,163,Thursday,No
2024-05-24,A123,Berlin,89,11.52,No,181,Friday,No
2024-05-25,B234,Hamburg,97,10.42,No,66,Saturday,No
2024-05-26,C345,Berlin,104,12.09,Yes,145,Sunday,No
2024-05-27,A123,Hamburg,96,10.83,No,126,Monday,No
2024-05-28,B234,Munich,100,11.21,Yes,65,Tuesday,No
2024-05-29,C345,Hamburg,105,9.35,No,260,Wednesday,No
2024-05-30,A123,Berlin,81,10.76,No,280,Thursday,No
2024-05-31,B234,Munich,120,10.18,No,105,Friday,No
2024-06-01,C345,Munich,97,12.45,No,270,Saturday,No
2024-06-02,A123,Hamburg,99,9.65,No,146,Sunday,No
2024-06-03,B234,Munich,120,11.78,No,147,Monday,No
2024-06-04,C345,Hamburg,90,11.72,No,274,Tuesday,No
2024-06-05,A123,Munich,85,9.43,No,193,Wednesday,No
2024-06-06,B234,Hamburg,84,10.31,Yes,231,Thursday,No
2024-06-07,C345,Berlin,82,8.57,Yes,251,Friday,No
2024-06-08,A123,Hamburg,112,11.81,Yes,121,Saturday,No
2024-06-09,B234,Hamburg,110,7.85,No,192,Sunday,No
2024-06-10,C345,Berlin,86,8.39,No,90,Monday,No
